School name,ASP,AA,School Type,Regional council,Territorial authority,Financial Service Provider,Location
Mana College #254,Moore Markhams Wellington Audit,Andrew Steel,Secondary - State,Wellington Region,Porirua City,Accounting For Schools,"-41.128456, 174.831191"
Ponatahi Christian School #528,Moore Markhams Wellington Audit,Andrew Steel,Composite - State : Integrated,Wellington Region,Carterton District,Numb1z Chartered Accountants,"-41.032158, 175.522456"
Arohanui Special School #1209,Moore Markhams Wellington Audit,Andrew Steel,Special School - State,Auckland Region,Auckland - Henderson-Massey,Schooled - Auckland West,"-36.881324, 174.652675"
Campbells Bay School #1242,Moore Markhams Wellington Audit,Andrew Steel,Primary - State,Auckland Region,Auckland - Devonport-Takapuna,CES,"-36.754727, 174.759313"
Chelsea School #1244,Moore Markhams Wellington Audit,Andrew Steel,Primary - State,Auckland Region,Auckland - Kaipatiki,Edtech,"-36.816259, 174.70762"
Ellerslie School #1268,Moore Markhams Wellington Audit,Andrew Steel,Primary - State,Auckland Region,Auckland - Maungakiekie-Tamaki,Schooled - Auckland East,"-36.898634, 174.805734"
Forrest Hill School #1278,Moore Markhams Wellington Audit,Andrew Steel,Primary - State,Auckland Region,Auckland - Devonport-Takapuna,Top Class Financial Management,"-36.773717, 174.749433"
Freemans Bay School #1279,Moore Markhams Wellington Audit,Andrew Steel,Primary - State,Auckland Region,Auckland - Waitemata,Shore Chartered Accountants Ltd,"-36.852048, 174.752809"
Glenavon School #1290,Moore Markhams Wellington Audit,Andrew Steel,Primary - State,Auckland Region,Auckland - Whau,Education Services,"-36.909858, 174.701981"
Henderson Intermediate #1307,Moore Markhams Wellington Audit,Andrew Steel,Intermediate/Restricted Composite - State,Auckland Region,Auckland - Henderson-Massey,Education Services,"-36.867743, 174.627984"
Holy Cross School (Henderson) #1316,Moore Markhams Wellington Audit,Andrew Steel,Primary - State : Integrated,Auckland Region,Auckland - Henderson-Massey,Schooled - Auckland West,"-36.886969, 174.636365"
Homai School #1317,Moore Markhams Wellington Audit,Andrew Steel,Primary - State,Auckland Region,Auckland - Manurewa,Education Services,"-37.01243, 174.880252"
Kedgley Intermediate #1329,Moore Markhams Wellington Audit,Andrew Steel,Intermediate/Restricted Composite - State,Auckland Region,Auckland - Otara-Papatoetoe,Edtech,"-36.976891, 174.834163"
Mangere Bridge School #1346,Moore Markhams Wellington Audit,Andrew Steel,Primary - State,Auckland Region,Auckland - Mangere-Otahuhu,Education Services,"-36.946367, 174.786866"
Mangere Central School #1347,Moore Markhams Wellington Audit,Andrew Steel,Primary - State,Auckland Region,Auckland - Mangere-Otahuhu,Schooled - Auckland East,"-36.974111, 174.790515"
Royal Oak Intermediate School #1351,Moore Markhams Wellington Audit,Andrew Steel,Intermediate/Restricted Composite - State,Auckland Region,Auckland - Maungakiekie-Tamaki,Edtech,"-36.915792, 174.774516"
Manurewa Central School #1354,Moore Markhams Wellington Audit,Andrew Steel,Primary - State,Auckland Region,Auckland - Manurewa,Education Services,"-37.020492, 174.896027"
Murrays Bay Intermediate #1386,Moore Markhams Wellington Audit,Andrew Steel,Intermediate/Restricted Composite - State,Auckland Region,Auckland - Hibiscus and Bays,Education Services,"-36.73448, 174.744644"
Papatoetoe West School #1431,Moore Markhams Wellington Audit,Andrew Steel,Primary - State,Auckland Region,Auckland - Otara-Papatoetoe,Edtech,"-36.979128, 174.848344"
Parakai School #1432,Moore Markhams Wellington Audit,Andrew Steel,Primary - State,Auckland Region,Auckland - Rodney,Schooled - Auckland West,"-36.663249, 174.432924"
Ridgeview School #1433,Moore Markhams Wellington Audit,Andrew Steel,Primary - State,Auckland Region,Auckland - Upper Harbour,Education Services,"-36.754652, 174.648367"
Parnell School #1436,Moore Markhams Wellington Audit,Andrew Steel,Primary - State,Auckland Region,Auckland - Waitemata,Education Services,"-36.855398, 174.787907"
Puhinui School #1448,Moore Markhams Wellington Audit,Andrew Steel,Primary - State,Auckland Region,Auckland - Otara-Papatoetoe,Edtech,"-36.985961, 174.866042"
Remuera School #1462,Moore Markhams Wellington Audit,Andrew Steel,Primary - State,Auckland Region,Auckland - Orakei,Edtech,"-36.881603, 174.793116"
Saint Therese School (Three Kings) #1509,Moore Markhams Wellington Audit,Andrew Steel,Primary - State : Integrated,Auckland Region,Auckland - Puketapapa,Inspired Accountants,"-36.908246, 174.750528"
Te Atatu Intermediate School #1530,Moore Markhams Wellington Audit,Andrew Steel,Intermediate/Restricted Composite - State,Auckland Region,Auckland - Henderson-Massey,Schooled - Auckland West,"-36.840457, 174.65287"
Te Papapa School #1534,Moore Markhams Wellington Audit,Andrew Steel,Primary - State,Auckland Region,Auckland - Maungakiekie-Tamaki,Shore Chartered Accountants Ltd,"-36.915229, 174.799656"
Torbay School #1538,Moore Markhams Wellington Audit,Andrew Steel,Primary - State,Auckland Region,Auckland - Hibiscus and Bays,Education Services,"-36.705384, 174.745881"
Cardinal McKeefry School (Wilton) #2819,Moore Markhams Wellington Audit,Andrew Steel,Primary - State : Integrated,Wellington Region,Wellington City,Accounting For Schools,"-41.275843, 174.756973"
Kelson School #2877,Moore Markhams Wellington Audit,Andrew Steel,Primary - State,Wellington Region,Lower Hutt City,Education NZ Ltd,"-41.180638, 174.933121"
Korokoro School #2883,Moore Markhams Wellington Audit,Andrew Steel,Primary - State,Wellington Region,Lower Hutt City,Accounting For Schools,"-41.215812, 174.867211"
Masterton Intermediate #2909,Moore Markhams Wellington Audit,Andrew Steel,Intermediate/Restricted Composite - State,Wellington Region,Masterton District,Solutions and Services,"-40.956936, 175.640522"
Muritai School #2920,Moore Markhams Wellington Audit,Andrew Steel,Primary - State,Wellington Region,Lower Hutt City,Accounting For Schools,"-41.291865, 174.89712"
Normandale School #2930,Moore Markhams Wellington Audit,Andrew Steel,Primary - State,Wellington Region,Lower Hutt City,School Administration Services,"-41.202414, 174.886189"
Papakowhai School #2946,Moore Markhams Wellington Audit,Andrew Steel,Primary - State,Wellington Region,Porirua City,Accounting For Schools,"-41.11339, 174.867393"
Paparangi School #2947,Moore Markhams Wellington Audit,Andrew Steel,Primary - State,Wellington Region,Wellington City,Accounting For Schools,"-41.214565, 174.819394"
Saint Anthony's School (Seatoun) #2999,Moore Markhams Wellington Audit,Andrew Steel,Primary - State : Integrated,Wellington Region,Wellington City,Accounting For Schools,"-41.323844, 174.829603"
Saint Francis De Sales School (Is.Bay) #3006,Moore Markhams Wellington Audit,Andrew Steel,Primary - State : Integrated,Wellington Region,Wellington City,Accounting For Schools,"-41.337887, 174.77506"
Taita Central School #3030,Moore Markhams Wellington Audit,Andrew Steel,Primary - State,Wellington Region,Lower Hutt City,Accounting For Schools,"-41.180931, 174.955351"
Pinehill School #6932,Moore Markhams Wellington Audit,Andrew Steel,Primary - State,Auckland Region,Auckland - Upper Harbour,Edtech,"-36.726727, 174.717604"
Te Kao School #1,BDO,Angela Edwards,Composite - State - Kura/character,Northland Region,Far North District,Education Services,"-34.654709, 172.965677"
Taipa Area School #2,BDO,Angela Edwards,Composite - State,Northland Region,Far North District,Education Services,"-34.994709, 173.464302"
Whangaroa College #4,BDO,Angela Edwards,Secondary - State,Northland Region,Far North District,The School Office,"-35.100861, 173.78695"
Harvest Christian School #956,BDO,Angela Edwards,Primary - State : Integrated,Northland Region,Far North District,Ask Accounting,"-35.206448, 173.92457"
Te Kura Kaupapa Maori o Tututarakihi #960,BDO,Angela Edwards,Primary - State - Kura/character,Northland Region,Far North District,Education Services,"-35.087837, 173.253842"
Awanui School #1004,BDO,Angela Edwards,Primary - State,Northland Region,Far North District,Education Services,"-35.03969, 173.254099"
Kaeo School #1019,BDO,Angela Edwards,Primary - State,Northland Region,Far North District,Education Services,"-35.100819, 173.788171"
Kaitaia Intermediate #1025,BDO,Angela Edwards,Intermediate/Restricted Composite - State,Northland Region,Far North District,Education Services,"-35.104335, 173.258501"
Mangamuka School #1037,BDO,Angela Edwards,Primary - State,Northland Region,Far North District,Education Services,"-35.213724, 173.538868"
Mangonui School #1039,BDO,Angela Edwards,Primary - State,Northland Region,Far North District,The School Office,"-34.990484, 173.534413"
Matauri Bay School #1044,BDO,Angela Edwards,Primary - State,Northland Region,Far North District,The School Office,"-35.043138, 173.896267"
Oromahoe School #1065,BDO,Angela Edwards,Primary - State,Northland Region,Far North District,Education Services,"-35.318809, 173.972248"
Oruaiti School #1066,BDO,Angela Edwards,Primary - State,Northland Region,Far North District,Education Services,"-35.003367, 173.588927"
Paihia School #1072,BDO,Angela Edwards,Primary - State,Northland Region,Far North District,Education Services,"-35.283576, 174.090494"
Pakaraka School #1073,BDO,Angela Edwards,Primary - State,Northland Region,Far North District,Education Services,"-35.35626, 173.957843"
Pamapuria School #1076,BDO,Angela Edwards,Primary - State,Northland Region,Far North District,Education Services,"-35.132798, 173.351826"
Paparore School #1078,BDO,Angela Edwards,Primary - State,Northland Region,Far North District,Education Services,"-35.027928, 173.202855"
Peria School #1081,BDO,Angela Edwards,Primary - State,Northland Region,Far North District,Edtech,"-35.098683, 173.487626"
Pompallier School #1082,BDO,Angela Edwards,Primary - State : Integrated,Northland Region,Far North District,Education Services,"-35.114878, 173.26084"
Russell School (Bay Of Islands) #1096,BDO,Angela Edwards,Primary - State,Northland Region,Far North District,Education Services,"-35.262172, 174.123766"
Te Kura O Hato Hohepa Te Kamura #1100,BDO,Angela Edwards,Primary - State : Integrated,Northland Region,Far North District,Education Services,"-35.070013, 173.712928"
Bay of Islands International Academy #1112,BDO,Angela Edwards,Primary - State,Northland Region,Far North District,Education Services,"-35.138784, 173.996339"
Totara North School #1116,BDO,Angela Edwards,Primary - State,Northland Region,Far North District,Education Services,"-35.038968, 173.712486"
Waiharara School #1120,BDO,Angela Edwards,Primary - State,Northland Region,Far North District,Education Services,"-34.934849, 173.185822"
Riverview School #1594,BDO,Angela Edwards,Primary - State,Northland Region,Far North District,Accounting For Schools,"-35.207821, 173.969687"
Te Kura Kaupapa Maori O Whangaroa #3106,BDO,Angela Edwards,Composite - State - Kura/character,Northland Region,Far North District,Education Services,"-35.041691, 173.895554"
Te Kura Kaupapa Maori o Pukemiro #3114,BDO,Angela Edwards,Composite - State - Kura/character,Northland Region,Far North District,Education Services,"-35.123178, 173.259189"
Fiordland College #400,Crowe New Zealand Audit Partnership,Anna Campbell,Secondary - State,Southland Region,Southland District,Solutions and Services,"-45.409262, 167.723689"
Ascot Community School #1625,Crowe New Zealand Audit Partnership,Anna Campbell,Primary - State,Southland Region,Invercargill City,Solutions and Services,"-46.407172, 168.384837"
Drummond School #1650,Crowe New Zealand Audit Partnership,Anna Campbell,Primary - State,Southland Region,Southland District,Education Finance,"-46.153001, 168.15067"
Broomfield School #3303,Crowe New Zealand Audit Partnership,Anna Campbell,Primary - State,Canterbury Region,Hurunui District,Solutions and Services,"-43.117264, 172.685605"
Halswell School #3366,Crowe New Zealand Audit Partnership,Anna Campbell,Primary - State,Canterbury Region,Christchurch City,Solutions and Services,"-43.590655, 172.569381"
Hoon Hay School #3379,Crowe New Zealand Audit Partnership,Anna Campbell,Primary - State,Canterbury Region,Christchurch City,Geoff Gillam,"-43.564866, 172.606609"
Leithfield School #3411,Crowe New Zealand Audit Partnership,Anna Campbell,Primary - State,Canterbury Region,Hurunui District,Geoff Gillam,"-43.197813, 172.740036"
Oaklands School #3450,Crowe New Zealand Audit Partnership,Anna Campbell,Primary - State,Canterbury Region,Christchurch City,Geoff Gillam,"-43.571674, 172.564641"
Saint Albans School #3518,Crowe New Zealand Audit Partnership,Anna Campbell,Primary - State,Canterbury Region,Christchurch City,Solutions and Services,"-43.508774, 172.634388"
West Spreydon School #3588,Crowe New Zealand Audit Partnership,Anna Campbell,Primary - State,Canterbury Region,Christchurch City,Geoff Gillam,"-43.559634, 172.611297"
Māruawai College #3625,Crowe New Zealand Audit Partnership,Anna Campbell,Secondary - State,Southland Region,Gore District,Solutions and Services,"-46.103255, 168.930253"
George Street Normal School #3740,Crowe New Zealand Audit Partnership,Anna Campbell,Primary - State,Otago Region,Dunedin City,Solutions and Services,"-45.858338, 170.511824"
Heriot School #3749,Crowe New Zealand Audit Partnership,Anna Campbell,Primary - State,Otago Region,Clutha District,Solutions and Services,"-45.839156, 169.273189"
Balfour School #3932,Crowe New Zealand Audit Partnership,Anna Campbell,Primary - State,Southland Region,Southland District,Schooled - Christchurch,"-45.842766, 168.585454"
East Gore School #3946,Crowe New Zealand Audit Partnership,Anna Campbell,Primary - State,Southland Region,Gore District,Education Finance,"-46.091738, 168.960487"
Garston School #3953,Crowe New Zealand Audit Partnership,Anna Campbell,Primary - State,Southland Region,Southland District,Schooled - Christchurch,"-45.464451, 168.689209"
Gore Main School #3956,Crowe New Zealand Audit Partnership,Anna Campbell,Primary - State,Southland Region,Gore District,Education Finance,"-46.095941, 168.9406"
Gorge Road School #3957,Crowe New Zealand Audit Partnership,Anna Campbell,Primary - State,Southland Region,Southland District,Number Navigators,"-46.473899, 168.700489"
Heddon Bush School #3963,Crowe New Zealand Audit Partnership,Anna Campbell,Primary - State,Southland Region,Southland District,Education Finance,"-46.077844, 168.15396"
Lochiel School #3977,Crowe New Zealand Audit Partnership,Anna Campbell,Primary - State,Southland Region,Southland District,Maggie Turnhout,"-46.205986, 168.335175"
Makarewa School #3982,Crowe New Zealand Audit Partnership,Anna Campbell,Primary - State,Southland Region,Invercargill City,Education Finance,"-46.329975, 168.348432"
Mataura School #3986,Crowe New Zealand Audit Partnership,Anna Campbell,Primary - State,Southland Region,Gore District,In-House provision,"-46.193131, 168.862887"
Mossburn School #3990,Crowe New Zealand Audit Partnership,Anna Campbell,Primary - State,Southland Region,Southland District,Solutions and Services,"-45.668072, 168.23773"
Otautau School #4001,Crowe New Zealand Audit Partnership,Anna Campbell,Primary - State,Southland Region,Southland District,Number Navigators,"-46.140681, 167.993263"
Pukerau School #4003,Crowe New Zealand Audit Partnership,Anna Campbell,Primary - State,Southland Region,Gore District,Solutions and Services,"-46.097802, 169.095347"
Riverton School #4008,Crowe New Zealand Audit Partnership,Anna Campbell,Primary - State,Southland Region,Southland District,Education Finance,"-46.351828, 168.019399"
Ruru Special School #4011,Crowe New Zealand Audit Partnership,Anna Campbell,Special School - State,Southland Region,Invercargill City,Solutions and Services,"-46.376766, 168.346021"
